1rdqE1.pdb1	1rdqI1.pdb1
6mheA1.pdb1	6mheC1.pdb1
2wssO1.pdb2	2wssZ1.pdb2
4wsiX1.pdb1	4wsiA1.pdb1
3wsyC1.pdb1	3wsyA1.pdb1
3wsrD1.pdb2	3wsrB1.pdb2
4wsfA1.pdb1	4wsfB1.pdb1
4yl6A1.pdb1	4yl6B1.pdb1
4ehqG1.pdb1	4ehqA1.pdb1
3pknA1.pdb2	3pknB1.pdb2
4wciE1.pdb3	4wciF1.pdb3
2znlB1.pdb1	2znlA1.pdb1
6qmsA1.pdb1	6qmsB1.pdb1
4qmgB1.pdb2	4qmgG1.pdb2
4qmfC1.pdb1	4qmfD1.pdb1
5jhqC1.pdb3	5jhqI1.pdb3
4jhjB1.pdb2	4jhjD1.pdb2
6qc0D1.pdb1	6qc0C1.pdb1
2lspB1.pdb1	2lspA1.pdb1
2lsiB1.pdb1	2lsiA1.pdb1
2lsrB1.pdb1	2lsrA1.pdb1
5lsjA1.pdb1	5lsjP1.pdb1
5lswB1.pdb1	5lswA1.pdb1
3tmhE1.pdb1	3tmhH1.pdb1
5haxA1.pdb1	5haxB1.pdb1
1hajA1.pdb1	1hajB1.pdb1
1zmpD4.pdb6	1zmpB4.pdb6
5wggB1.pdb1	5wggA1.pdb1
5wgdE1.pdb1	5wgdA1.pdb1
6mhfC1.pdb1	6mhfA1.pdb1
6grhA1.pdb1	6grh11.pdb1
5gowA1.pdb1	5gowB1.pdb1
6f1uF1.pdb1	6f1ud1.pdb1
4f14A1.pdb1	4f14B1.pdb1
5f1nD1.pdb2	5f1nF1.pdb2
6idxA1.pdb1	6idxC1.pdb1
1e91A1.pdb1	1e91B1.pdb1
4jifB2.pdb2	4jifA2.pdb2
3qksA1.pdb1	3qksC1.pdb1
2qkiH1.pdb2	2qkiD1.pdb2
5m9eF1.pdb2	5m9eC1.pdb2
5m9dB1.pdb1	5m9dA1.pdb1
4k0uB1.pdb2	4k0uA1.pdb2
2nczA1.pdb1	2nczB1.pdb1
5uwpC1.pdb1	5uwpD1.pdb1
4uwxD1.pdb2	4uwxB1.pdb2
5uwsD1.pdb1	5uwsC1.pdb1
1uwxM1.pdb2	1uwxQ1.pdb2
5uwwD1.pdb1	5uwwC1.pdb1
5uwtD1.pdb1	5uwtC1.pdb1
2i32E1.pdb1	2i32A1.pdb1
3kf9B1.pdb1	3kf9A1.pdb1
2l0yA1.pdb1	2l0yB1.pdb1
3tiwB1.pdb2	3tiwD1.pdb2
1cmiC2.pdb4	1cmiA2.pdb4
1cmxD1.pdb1	1cmxC1.pdb1
2cmyB1.pdb1	2cmyA1.pdb1
6a5qA1.pdb1	6a5qF1.pdb1
5a53B1.pdb1	5a53C1.pdb1
6a5eE1.pdb1	6a5eC1.pdb1
2b9jC1.pdb1	2b9jA1.pdb1
6b9hA1.pdb1	6b9hB1.pdb1
6b9mD1.pdb1	6b9mA1.pdb1
2b9iA1.pdb1	2b9iC1.pdb1
2b9hA1.pdb1	2b9hC1.pdb1
2kbmB1.pdb1	2kbmY1.pdb1
6fbxA1.pdb1	6fbxB1.pdb1
6fbkA1.pdb1	6fbkP1.pdb1
5fbyB1.pdb1	5fbyA1.pdb1
4lkuA1.pdb1	4lkuE1.pdb1
1ov3B1.pdb1	1ov3C1.pdb1
3srjA1.pdb1	3srjC1.pdb1
5h2xA1.pdb1	5h2xB1.pdb1
4h25A1.pdb1	4h25C1.pdb1
4h2tA1.pdb1	4h2tC1.pdb1
5h2cA1.pdb1	5h2cB2.pdb1
3iaxB1.pdb1	3iaxA1.pdb1
6iamB1.pdb1	6iamA1.pdb1
2df6A1.pdb1	2df6C1.pdb1
5df6A1.pdb1	5df6C1.pdb1
5f5vC1.pdb1	5f5vA1.pdb1
6f55A1.pdb1	6f55B1.pdb1
3f58P1.pdb1	3f58H1.pdb1
5f67B1.pdb2	5f67D1.pdb2
4xtrB1.pdb1	4xtrG1.pdb1
5xtbQ1.pdb1	5xtbW1.pdb1
1fptH1.pdb1	1fptP1.pdb1
3fp7I1.pdb1	3fp7J1.pdb1
2xppB1.pdb1	2xppA1.pdb1
2xpiD1.pdb1	2xpiE1.pdb1
6qtrA1.pdb1	6qtrB1.pdb1
6epeR1.pdb1	6epeY1.pdb1
5eppB1.pdb1	5eppA1.pdb1
3eu7A1.pdb1	3eu7X1.pdb1
2pldA1.pdb1	2pldB1.pdb1
5waiF1.pdb2	5waiH1.pdb2
6fq4A1.pdb1	6fq4B1.pdb1
3pbpL1.pdb4	3pbpJ1.pdb4
3zinA1.pdb1	3zinB1.pdb1
3zirA1.pdb1	3zirB1.pdb1
2a40C1.pdb3	2a40A1.pdb3
6gzlB1.pdb1	6gzlA1.pdb1
1s6cB2.pdb1	1s6cA2.pdb1
4cg6A1.pdb1	4cg6D1.pdb1
2h1pH1.pdb1	2h1pP1.pdb1
1h15F1.pdb2	1h15E1.pdb2
2h1cB1.pdb2	2h1cA1.pdb2
5mk0A1.pdb1	5mk0B1.pdb1
1mk7A1.pdb1	1mk7D1.pdb1
3c3qA1.pdb1	3c3qB1.pdb1
3c3oB1.pdb1	3c3oA1.pdb1
3mk4B1.pdb1	3mk4A1.pdb1
2mkpI1.pdb1	2mkpC1.pdb1
2mkrA1.pdb1	2mkrB1.pdb1
2rfeB1.pdb2	2rfeF1.pdb2
1rf3A2.pdb1	1rf3B2.pdb1
3svmP2.pdb2	3svmA2.pdb2
5h5sA1.pdb1	5h5sB1.pdb1
5h5qB1.pdb1	5h5qA1.pdb1
5h5rA1.pdb1	5h5rB1.pdb1
2m14B1.pdb1	2m14A1.pdb1
3m1fV1.pdb1	3m1fA1.pdb1
4m1lA1.pdb1	4m1lB1.pdb1
4m1zB1.pdb2	4m1zD1.pdb2
3jzrA1.pdb1	3jzrP1.pdb1
2jz3A1.pdb1	2jz3C1.pdb1
3ln5A1.pdb1	3ln5C1.pdb1
4bj6E1.pdb2	4bj6F1.pdb2
2bj4B1.pdb1	2bj4D1.pdb1
1dvaI1.pdb2	1dvaY1.pdb2
4ktuB1.pdb1	4ktuA1.pdb1
4hgcI1.pdb1	4hgcA1.pdb1
5wqdH1.pdb1	5wqdA1.pdb1
6mdpH1.pdb1	6mdpE1.pdb1
4md4C1.pdb1	4md4A1.pdb1
3p87C1.pdb3	3p87I1.pdb3
3synB1.pdb5	3synF1.pdb5
2y36P1.pdb1	2y36H1.pdb1
4nuuA1.pdb1	4nuuC1.pdb1
6nufC1.pdb1	6nufA1.pdb1
2nudA1.pdb1	2nudC1.pdb1
3owtA1.pdb1	3owtC1.pdb1
6n5wB1.pdb1	6n5wC1.pdb1
4n5tB1.pdb1	4n5tA1.pdb1
5gr8A1.pdb1	5gr8J1.pdb1
2pqnB1.pdb1	2pqnA1.pdb1
6d1uB1.pdb2	6d1uE1.pdb2
2d11E1.pdb1	2d11A1.pdb1
5m61G1.pdb1	5m61A1.pdb1
4m6bA1.pdb1	4m6bC1.pdb1
1vppX1.pdb1	1vppV1.pdb1
5h7gD1.pdb1	5h7gB1.pdb1
5h7yA1.pdb1	5h7yB1.pdb1
6mbeB1.pdb1	6mbeA1.pdb1
6mbdA1.pdb1	6mbdC1.pdb1
6mbcA1.pdb1	6mbcB1.pdb1
6mbbA1.pdb1	6mbbB1.pdb1
5eykA1.pdb1	5eykD1.pdb1
2ykaB1.pdb1	2ykaA1.pdb1
3vu5A1.pdb1	3vu5B2.pdb1
3vumA1.pdb1	3vumF1.pdb1
4ux9H1.pdb1	4ux9C1.pdb1
6cnlA1.pdb1	6cnlM1.pdb1
5vb9A1.pdb1	5vb9C1.pdb1
4pz5B1.pdb1	4pz5A1.pdb1
6pz9C1.pdb1	6pz9D1.pdb1
4c3pA1.pdb1	4c3pB1.pdb1
4mnwA1.pdb1	4mnwB1.pdb1
4mnyC1.pdb1	4mnyA1.pdb1
2mnjA1.pdb1	2mnjB1.pdb1
4mn8C1.pdb1	4mn8A1.pdb1
5mn9A1.pdb1	5mn9C1.pdb1
6mnlA1.pdb1	6mnlB1.pdb1
3b71E1.pdb2	3b71B1.pdb2
5ly2A1.pdb1	5ly2E1.pdb1
5ly3B1.pdb1	5ly3A1.pdb1
5ly1C1.pdb1	5ly1E1.pdb1
5en7F1.pdb2	5en7E1.pdb2
4xifH1.pdb4	4xifD1.pdb4
3kl8I1.pdb2	3kl8B2.pdb2
5ninA1.pdb2	5ninC1.pdb2
6niyR1.pdb1	6niyP1.pdb1
5lhzC1.pdb3	5lhzF1.pdb3
2nnuB1.pdb1	2nnuA1.pdb1
5lmxG1.pdb1	5lmxD1.pdb1
5lmfD1.pdb1	5lmfA1.pdb1
5lm5C1.pdb1	5lm5A1.pdb1
5lmgB1.pdb2	5lmgC1.pdb2
5eotA1.pdb1	5eotC1.pdb1
6gy2C1.pdb2	6gy2B1.pdb2
6gy5A1.pdb1	6gy5U1.pdb1
6iuaA1.pdb1	6iuaB1.pdb1
3iuxC1.pdb2	3iuxD1.pdb2
5ojrE1.pdb1	5ojrA1.pdb1
5oo6S1.pdb7	5oo6U1.pdb7
5di9D1.pdb1	5di9C1.pdb1
5difD1.pdb1	5difC1.pdb1
5b4wG1.pdb1	5b4wA1.pdb1
4b45A1.pdb1	4b45B1.pdb1
3i8eC1.pdb1	3i8eA1.pdb1
3i8cB1.pdb1	3i8cA1.pdb1
3i89A1.pdb1	3i89B1.pdb1
5ummB1.pdb1	5ummA1.pdb1
4um9D1.pdb1	4um9F1.pdb1
3w3wB1.pdb1	3w3wA1.pdb1
